lat,lon,low_shaking_prob,med_shaking_prob,high_shaking_prob,Liq_Class,zero_liq,low_liq,med_liq,high_liq,points,landslide,tsunami,tsunami_binned,zero_tsunami,low_tsunami,med_tsunami,high_tsunami,No_landslide,Yes_landslide
-39.58472,176.85822,0.027744625149562205,0.403914081685403,0.5683412931650348,No,1.0,0.0,0.0,0.0,POINT (-75.81516398966092 82.92646789685922),0.0,-5.560076491735324e-194,-0.0,1,0,0,0,1,0
-39.58472,176.86022,0.02606528588712936,0.4072657594571712,0.5666689546556996,No,1.0,0.0,0.0,0.0,POINT (-75.81516400703872 82.9264678967654),0.0,2.787268975030683e-201,0.0,1,0,0,0,1,0
-39.58472,176.86222,0.036006714993324584,0.42127396198965256,0.5427193230170229,No,1.0,0.0,0.0,0.0,POINT (-75.81516402441653 82.92646789667153),0.0,1.0862775383480544e-209,0.0,1,0,0,0,1,0
-39.58472,176.86422,0.03794828060326391,0.3874666730943992,0.5745850463023369,No,1.0,0.0,0.0,0.0,POINT (-75.81516404179436 82.92646789657771),0.0,7.450454638180978e-216,0.0,1,0,0,0,1,0
-39.58472,176.86622,0.028205730033862505,0.4025558739171529,0.5692383960489846,No,1.0,0.0,0.0,0.0,POINT (-75.81516405917218 82.92646789648389),0.0,1.3772725940767556e-223,0.0,1,0,0,0,1,0
-39.58472,176.86822,0.032491883989755055,0.4149071309687735,0.5526009850414715,No,1.0,0.0,0.0,0.0,POINT (-75.81516407655 82.92646789639005),0.0,-2.9784092120904767e-230,-0.0,1,0,0,0,1,0
-39.58472,176.87022,0.03442737856794701,0.40568089218823733,0.5598917292438157,No,1.0,0.0,0.0,0.0,POINT (-75.81516409392782 82.92646789629623),0.0,9.089965729189851e-239,0.0,1,0,0,0,1,0
-39.58472,176.87222,0.03319394650298636,0.41426619765661965,0.552539855840394,No,1.0,0.0,0.0,0.0,POINT (-75.81516411130562 82.92646789620241),0.0,3.324525727804494e-245,0.0,1,0,0,0,1,0
-39.58472,176.87422,0.03272408973977733,0.40503731771987406,0.5622385925403486,No,1.0,0.0,0.0,0.0,POINT (-75.81516412868345 82.92646789610853),0.0,-4.79697969717936e-253,-0.0,1,0,0,0,1,0
-39.58472,176.87622,0.024716225173607363,0.4032691175398499,0.5720146572865427,No,1.0,0.0,0.0,0.0,POINT (-75.81516414606125 82.92646789601471),0.0,-1.0240305215251527e-76,-0.0,1,0,0,0,1,0
-39.58472,176.87822,0.04126735426153572,0.39066872163094263,0.5680639241075217,No,1.0,0.0,0.0,0.0,POINT (-75.81516416343908 82.92646789592089),0.0,-1.6807655122681146e-73,-0.0,1,0,0,0,1,0
-39.58472,176.88022,0.03712468122213483,0.414442896115632,0.5484324226622331,No,1.0,0.0,0.0,0.0,POINT (-75.81516418081689 82.92646789582707),0.0,2.939124004285865e-70,0.0,1,0,0,0,1,0
-39.58472,176.88222,0.04062493323991846,0.3895968531136335,0.569778213646448,No,1.0,0.0,0.0,0.0,POINT (-75.81516419819472 82.92646789573325),0.0,-6.7897970432958095e-65,-0.0,1,0,0,0,1,0
-39.58472,176.88422,0.032535346649911284,0.3874097254383051,0.5800549279117836,No,1.0,0.0,0.0,0.0,POINT (-75.81516421557252 82.92646789563938),0.0,-6.179838974101598e-63,-0.0,1,0,0,0,1,0
-39.58472,176.88622,0.038463571745076336,0.3920038991444117,0.569532529110512,No,1.0,0.0,0.0,0.0,POINT (-75.81516423295035 82.92646789554554),0.0,9.531133341833643e-14,0.0,1,0,0,0,1,0
-39.58472,176.88822,0.03793869760578402,0.38469016781559345,0.5773711345786225,No,1.0,0.0,0.0,0.0,POINT (-75.81516425032817 82.92646789545174),0.0,1.0546369898664679e-05,0.0,1,0,0,0,1,0
-39.58472,176.89022,0.048952192842040144,0.359328771141937,0.5917190360160228,No,1.0,0.0,0.0,0.0,POINT (-75.81516426770598 82.9264678953579),0.0,0.0029370469565376616,0.0,1,0,0,0,1,0
-39.58472,176.89222,0.025441349282287463,0.3784514096603373,0.5961072410573752,No,1.0,0.0,0.0,0.0,POINT (-75.8151642850838 82.92646789526408),0.0,3.3292425104600484e-11,0.0,1,0,0,0,1,0
-39.58472,176.89422,0.0259933725719549,0.4012714051080954,0.5727352223199497,No,1.0,0.0,0.0,0.0,POINT (-75.81516430246161 82.92646789517022),0.0,-4.146562883177772e-19,-0.0,1,0,0,0,1,0
-39.58472,176.89622,0.04125098962920194,0.38966749931444833,0.5690815110563497,No,1.0,0.0,0.0,0.0,POINT (-75.81516431983943 82.92646789507639),0.0,-9.447131880335928e-26,-0.0,1,0,0,0,1,0
-39.58472,176.89822,0.029105311908277764,0.38878732920109904,0.5821073588906231,No,1.0,0.0,0.0,0.0,POINT (-75.81516433721725 82.92646789498257),0.0,-3.828208134994519e-33,-0.0,1,0,0,0,1,0
-39.58472,176.90022,0.035168639924893455,0.3915003677980561,0.5733309922770504,No,1.0,0.0,0.0,0.0,POINT (-75.81516435459507 82.92646789488873),0.0,-7.013809486221149e-41,-0.0,1,0,0,0,1,0
-39.58472,176.90222,0.027345330857472268,0.3669767254011046,0.6056779437414231,No,1.0,0.0,0.0,0.0,POINT (-75.8151643719729 82.92646789479491),0.0,-1.5900538061429928e-12,-0.0,1,0,0,0,1,0
-39.58472,176.90422,0.03206433683802736,0.3875002324032274,0.5804354307587453,No,1.0,0.0,0.0,0.0,POINT (-75.8151643893507 82.92646789470105),0.0,-5.517222335725155e-09,-0.0,1,0,0,0,1,0
-39.58472,176.90622,0.038462199311177704,0.37366220095806746,0.5878755997307549,No,1.0,0.0,0.0,0.0,POINT (-75.81516440672853 82.92646789460721),0.0,-5.660643380297839e-09,-0.0,1,0,0,0,1,0
-39.58472,176.90822,0.028622779532022646,0.3921837162108529,0.5791935042571245,No,1.0,0.0,0.0,0.0,POINT (-75.81516442410633 82.92646789451339),0.0,7.498655220048053e-08,0.0,1,0,0,0,1,0
-39.58472,176.91022,0.03904712842432152,0.3755077692190954,0.5854451023565831,No,1.0,0.0,0.0,0.0,POINT (-75.81516444148416 82.92646789441957),0.0,-6.59232570190136e-07,-0.0,1,0,0,0,1,0
-39.58472,176.91222,0.03824013721182092,0.36821657452130413,0.5935432882668749,No,1.0,0.0,0.0,0.0,POINT (-75.81516445886197 82.92646789432575),0.0,1.1084434582163427,0.0,1,0,0,0,1,0
-39.58472,176.91422,0.03872105043165581,0.3501482188800438,0.6111307306883004,No,1.0,0.0,0.0,0.0,POINT (-75.81516447623979 82.92646789423192),0.0,3.58018054069888e-09,0.0,1,0,0,0,1,0
-39.58472,176.91622,0.028445513235762054,0.36003940597873874,0.6115150807854992,No,1.0,0.0,0.0,0.0,POINT (-75.8151644936176 82.92646789413804),0.0,-6.511533457116424e-14,-0.0,1,0,0,0,1,0
-39.58472,176.91822,0.029783280892194283,0.3518964430331242,0.6183202760746815,No,1.0,0.0,0.0,0.0,POINT (-75.81516451099543 82.92646789404424),0.0,1.8603509760582725e-20,0.0,1,0,0,0,1,0
-39.58472,176.92022,0.025850810784920943,0.3653160013381103,0.6088331878769688,No,1.0,0.0,0.0,0.0,POINT (-75.81516452837324 82.9264678939504),0.0,1.7662194198892092e-06,0.0,1,0,0,0,1,0
-39.58472,176.92222,0.03518446760226139,0.38090562061479466,0.5839099117829439,No,1.0,0.0,0.0,0.0,POINT (-75.81516454575106 82.92646789385658),0.0,-0.014928658913089853,-0.0,1,0,0,0,1,0
-39.58472,176.92422,0.03477560227676129,0.36647221194960633,0.5987521857736324,No,1.0,0.0,0.0,0.0,POINT (-75.81516456312887 82.92646789376275),0.0,0.24702952724417865,0.0,1,0,0,0,1,0
-39.58472,176.92622,0.028279935528233196,0.38114930276823566,0.5905707617035312,No,1.0,0.0,0.0,0.0,POINT (-75.8151645805067 82.92646789366889),0.0,0.2013681882652958,0.0,1,0,0,0,1,0
-39.58472,176.92822,0.045173851729179246,0.362926583863397,0.5918995644074238,No,1.0,0.0,0.0,0.0,POINT (-75.81516459788452 82.92646789357507),0.0,0.024754480648836747,0.0,1,0,0,0,1,0
-39.58472,176.93022,0.03566255362677985,0.359082001244167,0.6052554451290532,No,1.0,0.0,0.0,0.0,POINT (-75.81516461526235 82.92646789348123),0.0,0.3633124594826553,0.0,1,0,0,0,1,0
-39.58472,176.93222,0.028214655392013354,0.3787811491408645,0.593004195467122,No,1.0,0.0,0.0,0.0,POINT (-75.81516463264015 82.92646789338741),0.0,0.35902056037500235,0.0,1,0,0,0,1,0
-39.58472,176.93422,0.032621134091298194,0.3644849178356042,0.6028939480730976,No,1.0,0.0,0.0,0.0,POINT (-75.81516465001796 82.92646789329359),0.0,0.1760288300474958,0.0,1,0,0,0,1,0
-39.58472,176.93622,0.040386731241112694,0.36614365279592354,0.5934696159629638,No,1.0,0.0,0.0,0.0,POINT (-75.81516466739578 82.92646789319971),0.0,1.0544432619515545,0.0,1,0,0,0,1,0
-39.58472,176.93822,0.02937637887716654,0.35187193094176467,0.6187516901810689,No,1.0,0.0,0.0,0.0,POINT (-75.81516468477361 82.92646789310589),0.0,4.44247091008757,2.0,0,0,1,0,1,0
-39.58472,176.94022,0.03760302154626986,0.3685939901706118,0.5938029882831184,No,1.0,0.0,0.0,0.0,POINT (-75.81516470215142 82.92646789301206),0.0,4.060008605239784,2.0,0,0,1,0,1,0
-39.58272,176.79622,0.03835755536528226,0.4437296737317936,0.5179127709029241,No,1.0,0.0,0.0,0.0,POINT (-75.81516345097157 82.92646797065447),0.0,,0.0,1,0,0,0,1,0
-39.58272,176.79822,0.03597945834699328,0.441847306089855,0.5221732355631518,No,1.0,0.0,0.0,0.0,POINT (-75.8151634683494 82.92646797056064),0.0,,0.0,1,0,0,0,1,0
-39.58272,176.80022,0.03602919692210016,0.4261893206027096,0.5377814824751902,No,1.0,0.0,0.0,0.0,POINT (-75.81516348572721 82.92646797046682),0.0,,0.0,1,0,0,0,1,0
-39.58272,176.80222,0.03476068428462637,0.4438913744298307,0.5213479412855428,No,1.0,0.0,0.0,0.0,POINT (-75.81516350310503 82.926467970373),0.0,,0.0,1,0,0,0,1,0
-39.58272,176.80422,0.043875300513856505,0.43518350535240335,0.5209411941337402,No,1.0,0.0,0.0,0.0,POINT (-75.81516352048284 82.92646797027912),0.0,,0.0,1,0,0,0,1,0
-39.58272,176.80622,0.027164745679342427,0.4168501771171903,0.5559850772034672,No,1.0,0.0,0.0,0.0,POINT (-75.81516353786067 82.9264679701853),0.0,,0.0,1,0,0,0,1,0
-39.58272,176.80822,0.03080449448957397,0.44246600484707654,0.5267295006633494,No,1.0,0.0,0.0,0.0,POINT (-75.81516355523847 82.92646797009148),0.0,,0.0,1,0,0,0,1,0
-39.58272,176.81022,0.03515017913728243,0.43047447624957574,0.5343753446131417,No,1.0,0.0,0.0,0.0,POINT (-75.8151635726163 82.92646796999766),0.0,,0.0,1,0,0,0,1,0
