OBJECTID,ROAD_PT_ID,LON_pt,LAT_pt,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,F_ELEV,T_ELEV,RD_SEG_ID,ORIG_FID,LIQ_Class,PGA_mean_log,PGA_sigma_log,BLDG_ID,BLDG_EWd,BLDG_sigmaEWd,BLDG_CLASS,BLDG_collapse_m,BLDG_collapse_b,BLDG_Dist_bld,BLDG_ID_bld,BR_CLASS,BR_logmean,BR_logsigma,LS_areaYN,LS_ID_fface,LS_Dist_fface,LS_H_fface,LS_Slope,CULV_ID,CULV_MnPGD,CULV_Y_N,RW_ID,RW_PGA,RW_sd,RW_CLASS,PGA25,PGA100,PGA500,PGA1000,PGA2500,LAN_SU_ID,LAN_LP25_max,LAN_LP100_max,LAN_LP500_max,LAN_LP1000_max,LAN_LP2500_max,LAN_RO_Vol,LAN_RO_V_1,LAN_RO_V_2,LAN_RO_V_3,LAN_RO_V_4,LAN_RO_V_5,LAN_VolCla
5854,5854,176.8753658,-39.51647752,142982799,5122,residential,Konini Crescent,,B,50,0,F,F,0,0,5854,5854,B,-0.937713719,0.708450753,,,,,,,999,999,,,,yes,500,31.65644586,4.396201134,2.285625189,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5855,5855,176.8754061,-39.51603336,142982799,5122,residential,Konini Crescent,,B,50,0,F,F,0,0,5855,5855,B,-0.937713719,0.708450753,,,,,,,999,999,,,,yes,500,39.28165526,4.396201134,2.285625189,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5856,5856,176.8757148,-39.51582402,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5856,5856,B,-0.937713719,0.708450753,,,,,,,999,999,,,,yes,499,31.92563319,4.89269352,3.5,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5857,5857,176.8762786,-39.51573761,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5857,5857,C,-0.937713719,0.708450753,,,,,,,999,999,,,,yes,499,7.50871039,4.89269352,3.5,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5858,5858,176.8767689,-39.51560927,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5858,5858,C,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,499,3.560936595,4.89269352,3.5,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5859,5859,176.8768625,-39.51516654,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5859,5859,C,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,498,5.47443114,7.088775635,3.129673945,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5860,5860,176.8767725,-39.51472576,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5860,5860,C,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,498,5.256664893,7.088775635,3.129673945,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5861,5861,176.8766787,-39.51428175,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5861,5861,C,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,498,5.303967588,7.088775635,3.129673945,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5862,5862,176.8765593,-39.51384735,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5862,5862,C,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,497,8.283141217,5.27295208,2.712991325,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5863,5863,176.8762895,-39.51372317,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5863,5863,C,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,497,29.25535818,5.27295208,2.712991325,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5864,5864,176.8759995,-39.51382253,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5864,5864,B,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,497,55.52397277,5.27295208,2.712991325,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5865,5865,176.875824,-39.5142394,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5865,5865,B,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,498,77.13127388,7.088775635,3.129673945,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5866,5866,176.8756637,-39.51467467,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5866,5866,B,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,498,98.46079223,7.088775635,3.129673945,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5867,5867,176.8754294,-39.5148804,142982801,5122,residential,Titoki Crescent,,B,50,0,F,F,0,0,5867,5867,B,-0.950371912,0.73286612,,,,,,,999,999,,,,yes,498,122.014967,7.088775635,3.129673945,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5868,5868,176.8638541,-39.52815046,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5868,5868,C,-0.90146517,0.723064251,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5869,5869,176.8635044,-39.5278813,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5869,5869,C,-0.90146517,0.723064251,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5870,5870,176.8642373,-39.52637043,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5870,5870,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5871,5871,176.8637662,-39.52660157,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5871,5871,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5872,5872,176.8640521,-39.52643172,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5872,5872,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5873,5873,176.8631636,-39.52771075,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5873,5873,C,-0.896667521,0.744898663,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5874,5874,176.8632996,-39.52692461,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5874,5874,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5875,5875,176.8635323,-39.52676234,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5875,5875,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5876,5876,176.8629508,-39.52738373,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5876,5876,C,-0.896667521,0.744898663,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5877,5877,176.8630528,-39.52712148,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5877,5877,C,-0.896667521,0.744898663,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5878,5878,176.8646533,-39.52637448,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5878,5878,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5879,5879,176.8650853,-39.52647315,142982802,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5879,5879,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5880,5880,176.8747122,-39.52322961,142982804,5122,residential,Atherfold Crescent,,B,50,0,F,F,0,0,5880,5880,C,-0.904214966,0.734313775,,,,,,,999,999,,,,yes,131,70.32635495,4.171152115,2.953341866,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5881,5881,176.8644298,-39.52616055,142982805,5122,residential,Townshend Crescent,,B,50,0,F,F,0,0,5881,5881,C,-0.888845159,0.761591776,,,,,,,999,999,,,,,-1,-1,,,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5882,5882,176.876604,-39.52106579,142982806,5122,residential,Tiffen Place,,B,50,0,F,F,0,0,5882,5882,C,-0.917819985,0.745015149,,,,,,,999,999,,,,yes,494,31.24993,3.527729034,3.361233598,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5883,5883,176.8762824,-39.52103795,142982806,5122,residential,Tiffen Place,,B,50,0,F,F,0,0,5883,5883,C,-0.917819985,0.745015149,,,,,,,999,999,,,,yes,494,58.59039388,3.527729034,2.682313449,,,,,,,,0.069825835,0.148461981,0.298461734,0.38602546,0.536689,0,0,0,0,0,0,No,No,No,No,No,No,0
5884,5884,176.875097,-39.49871295,142982807,5121,unclassified,Hamilton Place,,B,50,0,F,F,0,0,5884,5884,B,-0.939469952,0.758495803,,,,,,,999,999,,,,yes,28,67.53127034,2.995501518,3.695715248,,,,,,,,0.06887677,0.145475354,0.292439606,0.380645723,0.540426,0,0,0,0,0,0,No,No,No,No,No,No,0
